key,en,zh,vi,fr
mode.45,"Equation","方程","Phương trình",
mode.88,"Table","函数表格","Bảng giá trị",
mode.89,"Verify","验证","Kiểm chứng",
mode.4501,"Simultaneous Equation with 2 Unknowns","二元一次方程组","Phương trình tuyến tính đồng thời với 2 ẩn",
mode.4502,"Simultaneous Equation with 3 Unknowns","三元一次方程组","Phương trình tuyến tính đồng thời với 3 ẩn",
mode.4503,"Simultaneous Equation with 4 Unknowns","四元一次方程组","Phương trình tuyến tính đồng thời với 4 ẩn",
mode.4504,"Quadratic Equation [ax²+bx+c=0]","二次方程 [ax²+bx+c=0]","Phương trình bậc hai [ax²+bx+c=0]",
mode.4505,"Cubic Equation [ax³+bx²+cx+d=0]","三次方程 [ax³+bx²+cx+d=0]","Phương trình bậc hai [ax³+bx²+cx+d=0]",
mode.4506,"Quartic Equation [ax⁴+bx³+cx²+dx+e=0]","四次方程 [ax⁴+bx³+cx²+dx+e=0]","Phương trình bậc bốn [ax⁴+bx³+cx²+dx+e=0]",
mode.4508,"Solver","求解方程","Bộ giải phương trình",
mode.C1,"Calculate","计算","Phép tính thường",
mode.02,"Base-N","基数","Hệ đếm cơ số N",
mode.0201,"Binary","二进制","Nhị phân",
mode.0207,"Octal","八进制","Bát phân",
mode.0209,"Decimal","十进制","Thập phân",
mode.020F,"Hexadecimal","十六进制","Thập lục phân",
mode.03,"Statistics","统计","Thống kê",
mode.0301,"Single-Variable Statistic","单变量统计","Thống kê 1 biến",
mode.0302,"Linear Regression [y=a+bx]/[y=ax+b]","线性回归 [y=a+bx]/[y=ax+b]","Hồi quy tuyến tính [y=a+bx]/[y=ax+b]",
mode.0303,"Quadratic Regression [y=a+bx+cx²]/[y=ax²+bx+c]","二次回归 [y=a+bx+cx²]/[y=ax²+bx+c]","Hồi quy bậc hai [y=a+bx+cx²]/[y=ax²+bx+c]",
mode.0304,"Logarithmic Regression [y=a+b･ln(x)]","对数回归 [y=a+b･ln(x)]","Hồi quy lôgarit [y=a+b･ln(x)]",
mode.0305,"e exponential Regression [y=a･e^(bx)]","e 指数回归 [y=a･e^(bx)]","e hồi quy hàm số mũ [y=a･e^(bx)]",
mode.0306,"ab exponential Regression [y=a･b^x]","ab 指数回归 [y=a･b^x]","ab hồi quy hàm số mũ [y=a･b^x]",
mode.0307,"Power Regression [y=a･x^b]","乘方回归 [y=a･x^b]","Hồi quy lũy thừa [y=a･x^b]",
mode.0308,"Inverse Regression [y=a+b/x]","逆回归 [y=a+b/x]","Hồi quy nghịch đảo [y=a+b/x]",
mode.C4,"Complex","复数","Số phức",
mode.06,"Matrix","矩阵","Ma trận",
mode.07,"Vector","向量","Véc-tơ",
mode.09,"Graph","绘图",,
mode.4A,"Ratio","比例","Tỉ lệ thức",
mode.4A01,"A:B=X:D",,,
mode.4A02,"A:B=C:X",,,
mode.4B,"Inequality","不等式","Bất phương trình",
mode.4B0400,"ax²+bx+c>0",,,
mode.4B0401,"ax²+bx+c<0",,,
mode.4B0402,"ax²+bx+c≥0",,,
mode.4B0403,"ax²+bx+c≤0",,,
